"string";"country";"price";"type";"season";"shipi";"filepic";"type_item";"ostatok";
"445/65 R22.5 Б/К BS M748 (прицеп)";"ЯПОНИЯ";"33200";;;;;;"4";
"445/65 R22.5 Б/К BS R164(прицеп)";"ЯПОНИЯ";"33050";;;;;;"4";
"385/65 R22.5 Б/К GT 978+T (прицеп) GT Radial ";"КИТАЙ";"14800";;;;;;"-";
"385/65 R22.5 Б/К GT269 (перед) GT Radial";"КИТАЙ";"15500";;;;;;"6";
"385/65 R22.5 Б/К GY  MARATHON LHT II (прицеп)";"ЛЮКСЕМБУРГ";"20100";;;;;;"10";
"385/65 R22.5 Б/К GY REGIONAL RHT (прицеп)";"ГЕРМАНИЯ";"19180";;;;;;"4";
"385/65 R22.5 Б/К HN 207 (прицеп) Aeolus";"КИТАЙ";"14100";;;;;;"49";
"385/65 R22.5 Б/К HN 805(прицеп)Aeolus";"КИТАЙ";"14100";;;;;;">50";
"385/65 R22.5 Б/К HTR2 (прицеп) Continental ";"СЛОВАКИЯ";"16900";;;;;;"-";
"385/65 R22.5 Б/К KORMORAN T (прицеп)";"РУМЫНИЯ";"16900";;;;;;"36";
"385/65 R22.5 Б/К MICHL.XTE3 (прицеп)";"ПОЛЬША";"22500";;;;;;"5";
"385/65 R22.5 Б/К MICHL.XTE3 (прицеп)";"ГЕРМАНИЯ";"22500";;;;;;"27";
"385/65 R22.5 Б/К MICHL.XTE3 (прицеп)";"ФРАНЦИЯ";"22500";;;;;;"7";
"385/65 R22.5 Б/К RLB 905 (прицеп) Double Coin";"КИТАЙ";"13950";;;;;;">50";
"385/65 R22.5 Б/К SAVA CARGO C3 PLUS (прицеп)";"ПОЛЬША";"17000";;;;;;"19";
"385/65 R22.5 Б/К SAVA CARGO MS (прицеп)";"ПОЛЬША";"17480";;;;;;"2";
"385/65 R22.5 Б/К ST 022 (прицеп) Sunfull";"КИТАЙ";"12800";;;;;;"32";
"385/65 R22.5 Б/К TH02 (прицеп) Hankook";"КОРЕЯ";"14800";;;;;;"-";
"385/65 R22.5 Б/К TH1 (прицеп) Matador СЛОВАКИЯ";"(МАТАДОР)";"17850";;;;;;"2";
